Job;Node;Variant;Weight;LiveIdle;Marginal;PredTotal;RawPerf;RawEff;NormPerf;NormEff;FinalScore
ml-inference-job-fz4gt;rpi;rpi-cpu;0.9;2.30;0.61;2.91;22.11;7.5979;0.0;1.1;0
ml-inference-job-fz4gt;tvpc;tvpc-cpu;0.9;52.80;70.89;123.69;22036.82;178.1617;37.3;24.8;36
ml-inference-job-fz4gt;dgoh-wyze;dgoh-wyze-cpu;0.9;9.90;8.02;17.92;5355.58;298.8602;9.1;41.6;12
ml-inference-job-fz4gt;tvpc;tvpc-gpu;0.9;52.80;48.08;100.88;59110.14;585.9451;100.0;81.5;98
ml-preprocessing-job-mh8bw;dgoh-wyze;dgoh-wyze-cpu;1.0;10.20;2.28;12.48;281.37;22.5458;23.8;15.3;23
ml-preprocessing-job-mh8bw;rpi;rpi-cpu;1.0;2.30;0.48;2.78;71.96;25.8849;6.1;17.6;6
ml-preprocessing-job-mh8bw;tvpc;tvpc-cpu;1.0;53.80;27.46;81.26;1184.01;14.5706;100.0;9.9;100
ml-preprocessing-job-mh8bw;tvpc;tvpc-gpu;1.0;53.80;40.40;94.20;6.73;0.0714;0.6;0.0;0
ml-train-job-djgf2;dgoh-wyze;dgoh-wyze-cpu;1.0;10.10;10.01;20.11;12.76;0.6343;0.7;8.4;0
ml-train-job-djgf2;rpi;rpi-cpu;1.0;2.30;0.61;2.91;0.00;0.0014;0.0;0.0;0
ml-train-job-djgf2;tvpc;tvpc-cpu;1.0;57.00;86.83;143.83;68.39;0.4755;4.0;6.3;3
ml-train-job-djgf2;tvpc;tvpc-gpu;1.0;57.00;176.66;233.66;1715.98;7.3439;100.0;97.0;100
ml-inference-job-5fq4d;dgoh-wyze;dgoh-wyze-cpu;1.0;10.20;8.02;18.22;5287.18;290.1854;8.9;40.4;8
ml-inference-job-5fq4d;rpi;rpi-cpu;1.0;2.40;0.61;3.01;22.11;7.3455;0.0;1.0;0
ml-inference-job-5fq4d;tvpc;tvpc-cpu;1.0;57.80;70.89;128.69;22036.82;171.2396;37.3;23.8;37
ml-inference-job-5fq4d;tvpc;tvpc-gpu;1.0;57.80;48.08;105.88;59110.14;558.2748;100.0;77.7;100
ml-preprocessing-job-78t5h;dgoh-wyze;dgoh-wyze-cpu;0.0;10.80;2.28;13.08;267.98;20.4881;22.6;13.9;13
ml-preprocessing-job-78t5h;rpi;rpi-cpu;0.0;2.30;0.48;2.78;71.96;25.8849;6.1;17.6;17
ml-preprocessing-job-78t5h;tvpc;tvpc-cpu;0.0;53.50;27.46;80.96;1184.01;14.6246;100.0;9.9;9
ml-preprocessing-job-78t5h;tvpc;tvpc-gpu;0.0;53.50;40.40;93.90;6.73;0.0717;0.6;0.0;0
ml-train-job-56486;dgoh-wyze;dgoh-wyze-cpu;0.0;10.70;10.01;20.71;12.48;0.6028;0.7;8.0;7
ml-train-job-56486;rpi;rpi-cpu;0.0;2.40;0.61;3.01;0.00;0.0014;0.0;0.0;0
ml-train-job-56486;tvpc;tvpc-cpu;0.0;52.00;86.83;138.83;68.39;0.4926;4.0;6.5;6
ml-train-job-56486;tvpc;tvpc-gpu;0.0;52.00;176.66;228.66;1715.98;7.5045;100.0;99.2;99
ml-inference-job-f27m7;dgoh-wyze;dgoh-wyze-cpu;0.0;10.60;8.02;18.62;5198.65;279.1972;8.8;38.8;38
ml-inference-job-f27m7;rpi;rpi-cpu;0.0;2.40;0.61;3.01;22.11;7.3455;0.0;1.0;1
ml-inference-job-f27m7;tvpc;tvpc-cpu;0.0;55.10;70.89;125.99;22036.82;174.9093;37.3;24.3;24
ml-inference-job-f27m7;tvpc;tvpc-gpu;0.0;55.10;48.08;103.18;59110.14;572.8837;100.0;79.7;79
ml-preprocessing-job-j6wkv;dgoh-wyze;dgoh-wyze-cpu;0.1;10.60;2.28;12.88;272.30;21.1415;23.0;14.3;15
ml-preprocessing-job-j6wkv;rpi;rpi-cpu;0.1;2.30;0.48;2.78;71.96;25.8849;6.1;17.6;16
ml-preprocessing-job-j6wkv;tvpc;tvpc-cpu;0.1;53.80;27.46;81.26;1184.01;14.5706;100.0;9.9;18
ml-preprocessing-job-j6wkv;tvpc;tvpc-gpu;0.1;53.80;40.40;94.20;6.73;0.0714;0.6;0.0;0
ml-train-job-str2z;dgoh-wyze;dgoh-wyze-cpu;0.1;10.70;10.01;20.71;12.48;0.6028;0.7;8.0;7
ml-train-job-str2z;rpi;rpi-cpu;0.1;2.40;0.61;3.01;0.00;0.0014;0.0;0.0;0
ml-train-job-str2z;tvpc;tvpc-cpu;0.1;51.50;86.83;138.33;68.39;0.4944;4.0;6.5;6
ml-train-job-str2z;tvpc;tvpc-gpu;0.1;51.50;176.66;228.16;1715.98;7.5210;100.0;99.4;99
