Job;Node;Variant;Weight;LiveIdle;Marginal;PredTotal;RawPerf;RawEff;NormPerf;NormEff;FinalScore
ml-preprocessing-job-2b4bn;tvpc;tvpc-cpu;1.0;50.60;27.46;78.06;1184.01;15.1679;100.0;10.3;100
ml-preprocessing-job-2b4bn;tvpc;tvpc-gpu;1.0;50.60;40.40;91.00;6.73;0.0740;0.6;0.1;0
ml-preprocessing-job-2b4bn;rpi;rpi-cpu;1.0;2.30;0.48;2.78;71.96;25.8849;6.1;17.6;6
ml-train-job-rp8cm;dgoh-wyze;dgoh-wyze-cpu;1.0;2.60;10.01;12.61;17.44;1.3830;1.0;18.3;1
ml-train-job-rp8cm;rpi;rpi-cpu;1.0;2.30;0.61;2.91;0.00;0.0014;0.0;0.0;0
ml-train-job-rp8cm;tvpc;tvpc-cpu;1.0;48.20;86.83;135.03;68.39;0.5065;4.0;6.7;3
ml-train-job-rp8cm;tvpc;tvpc-gpu;1.0;48.20;176.66;224.86;1715.98;7.6313;100.0;100.0;100
ml-inference-job-whpp6;dgoh-wyze;dgoh-wyze-cpu;1.0;2.60;8.02;10.62;7742.88;729.0847;13.1;100.0;13
ml-inference-job-whpp6;rpi;rpi-cpu;1.0;2.30;0.61;2.91;22.11;7.5979;0.0;1.1;0
ml-inference-job-whpp6;tvpc;tvpc-cpu;1.0;48.80;70.89;119.69;22036.82;184.1158;37.3;25.6;37
ml-inference-job-whpp6;tvpc;tvpc-gpu;1.0;48.80;48.08;96.88;59110.14;610.1377;100.0;84.9;100
ml-preprocessing-job-bxtzn;dgoh-wyze;dgoh-wyze-cpu;0.0;10.30;2.28;12.58;279.05;22.1819;23.6;15.1;15
ml-preprocessing-job-bxtzn;rpi;rpi-cpu;0.0;2.30;0.48;2.78;71.96;25.8849;6.1;17.6;17
ml-preprocessing-job-bxtzn;tvpc;tvpc-cpu;0.0;52.30;27.46;79.76;1184.01;14.8447;100.0;10.1;10
ml-preprocessing-job-bxtzn;tvpc;tvpc-gpu;0.0;52.30;40.40;92.70;6.73;0.0726;0.6;0.0;0
ml-train-job-5cn6n;dgoh-wyze;dgoh-wyze-cpu;0.0;10.20;10.01;20.21;12.71;0.6289;0.7;8.3;8
ml-train-job-5cn6n;rpi;rpi-cpu;0.0;2.50;0.61;3.11;0.00;0.0014;0.0;0.0;0
ml-train-job-5cn6n;tvpc;tvpc-cpu;0.0;55.40;86.83;142.23;68.39;0.4808;4.0;6.4;6
ml-train-job-5cn6n;tvpc;tvpc-gpu;0.0;55.40;176.66;232.06;1715.98;7.3946;100.0;97.7;97
ml-inference-job-5k7xr;dgoh-wyze;dgoh-wyze-cpu;0.0;10.20;8.02;18.22;5287.18;290.1854;8.9;40.4;40
ml-inference-job-5k7xr;rpi;rpi-cpu;0.0;2.30;0.61;2.91;22.11;7.5979;0.0;1.1;1
ml-inference-job-5k7xr;tvpc;tvpc-cpu;0.0;52.40;70.89;123.29;22036.82;178.7397;37.3;24.9;24
ml-inference-job-5k7xr;tvpc;tvpc-gpu;0.0;52.40;48.08;100.48;59110.14;588.2777;100.0;81.8;81
ml-preprocessing-job-p57zm;dgoh-wyze;dgoh-wyze-cpu;0.1;10.20;2.28;12.48;281.37;22.5458;23.8;15.3;16
ml-preprocessing-job-p57zm;rpi;rpi-cpu;0.1;2.40;0.48;2.88;71.96;24.9861;6.1;17.0;15
ml-preprocessing-job-p57zm;tvpc;tvpc-cpu;0.1;52.60;27.46;80.06;1184.01;14.7890;100.0;10.0;19
ml-preprocessing-job-p57zm;tvpc;tvpc-gpu;0.1;52.60;40.40;93.00;6.73;0.0724;0.6;0.0;0
ml-train-job-pvcw9;dgoh-wyze;dgoh-wyze-cpu;0.1;10.20;10.01;20.21;12.71;0.6289;0.7;8.3;7
ml-train-job-pvcw9;rpi;rpi-cpu;0.1;2.40;0.61;3.01;0.00;0.0014;0.0;0.0;0
ml-train-job-pvcw9;tvpc;tvpc-cpu;0.1;54.30;86.83;141.13;68.39;0.4846;4.0;6.4;6
ml-train-job-pvcw9;tvpc;tvpc-gpu;0.1;54.30;176.66;230.96;1715.98;7.4298;100.0;98.2;98
ml-inference-job-tf6tz;dgoh-wyze;dgoh-wyze-cpu;0.1;10.20;8.02;18.22;5287.18;290.1854;8.9;40.4;37
ml-inference-job-tf6tz;rpi;rpi-cpu;0.1;2.40;0.61;3.01;22.11;7.3455;0.0;1.0;0
ml-inference-job-tf6tz;tvpc;tvpc-cpu;0.1;52.70;70.89;123.59;22036.82;178.3058;37.3;24.8;26
ml-inference-job-tf6tz;tvpc;tvpc-gpu;0.1;52.70;48.08;100.78;59110.14;586.5265;100.0;81.6;83
ml-preprocessing-job-vn9qz;dgoh-wyze;dgoh-wyze-cpu;0.2;10.20;2.28;12.48;281.37;22.5458;23.8;15.3;16
ml-preprocessing-job-vn9qz;rpi;rpi-cpu;0.2;2.30;0.48;2.78;71.96;25.8849;6.1;17.6;15
ml-preprocessing-job-vn9qz;tvpc;tvpc-cpu;0.2;55.70;27.46;83.16;1184.01;14.2377;100.0;9.7;27
ml-preprocessing-job-vn9qz;tvpc;tvpc-gpu;0.2;55.70;40.40;96.10;6.73;0.0700;0.6;0.0;0
ml-train-job-fqvxc;dgoh-wyze;dgoh-wyze-cpu;0.2;10.20;10.01;20.21;12.71;0.6289;0.7;8.3;6
